Design hydrocarbon Throughput (kboed),No of Wells,Flowline Length (km),Total Cost (Mil USD)
11,3,26.62353987,48
48,1,13.31176993,58
15,2,13.31176993,86
27,1,1.358336003,91
75,1,5.705046033,106
54,4,21.73350041,125
17,4,21.73350041,125
6,4,21.73350041,125
29,3,16.84346095,134
40,6,4.075032881,153
56,4,6.52005261,173
25,8,22.82018413,182
83,2,22.82018413,187
14,1,10.32340834,192
42,5,19.28848068,206
100,4,12.49676336,225
48,2,10.05174363,249
54,2,10.05174363,249
75,2,10.05174363,249
130,3,22.82018413,259
18,3,27.71022359,264
102,8,25.53686858,269
88,10,60.58216379,278
193,5,20.10348726,283
95,4,30.15524332,295
48,6,10.05174363,307
23,3,60.03880949,331
49,4,27.43854644,341
60,3,45.0970264,350
137,2,22.54850698,355
32,5,13.04010522,360
143,1,29.34023674,365
78,10,5.705046033,374
53,2,125.5110127,393
64,3,21.19017098,403
30,2,70.63389498,422
93,4,27.9818883,460
257,7,18.74515125,513
105,3,16.84346095,624
76,3,45.0970264,657
275,4,64.92884895,662
63,3,17.65846753,681
111,6,13.58343465,756
267,3,127.1410259,782
101,8,42.92367139,854
54,6,33.41526962,878
168,4,11.68175678,1098
211,7,11.68175678,1098
264,7,81.77233477,1242
274,16,104.3208418,1290
198,16,50.25873058,1319
259,16,131.4877359,1348
249,15,76.88229531,1405
249,14,125.2393356,1487
157,16,74.43727558,1659
254,15,90.73740711,1731
254,14,83.6740002,1765
