Pipeline Dia (inch),Pipeline Length (km),Total EPRR Cost (Mil RM)
10,19,2.617458
4,19,2.35645
10,27.7,2.819446
4,7.1,2.248699
8,15,2.456697
8,15,2.456697
18,45.35,4.125581
16,32.46,3.394905
6,0.06,2.185565
6,0.92,2.197164
8,4.2,2.260435
8,59.4,3.288651
10,4.49,2.285968
10,3.4,2.261338
6,4.7,2.248248
18,52.3,4.44186
18,4.36,2.362084
8,3.6,2.249601
12,5.62,2.33702
12,3.67,2.284023
6,3.4,2.230661
6,4.6,2.246894
18,7.64,2.496786
12,4.35,2.302484
12,4.5,2.306559
10,2.3,2.236521
6,1.78,2.208772
12,14,2.566764
8,0.06,2.185834
10,7.1,2.345098
12,3.7,2.284837
6,3.5,2.232013
8,3.5,2.247797
6,3.3,2.229309
12,3.3,2.273987
6,7.1,2.280767
6,2.3,2.215794
10,2.4,2.238775
12,3.7,2.284837
10,4.2,2.279411
14,7.1,2.409686
6,4.1,2.240128
16,7.2,2.445731
10,10.6,2.424733
12,9.86,2.452858
10,7.4,2.351908
6,7.13,2.281174
12,7.06,2.376268
6,10.6,2.328311
6,10.7,2.329671
10,10.97,2.433175
32,164,18.383547
16,46,3.925204
10,10.3,2.417892
10,7.7,2.358722
24,165.5,13.634046
20,29.5,3.56617
24,12,2.845157
28,285,30.30452
10,13.7,2.495595
24,48.7,5.029601
14,5,2.342828
14,5,2.342828
30,155.7,16.171318
18,100,6.74772
24,28,3.76698
30,14,3.156711
8,0.45,2.192847
12,0.47,2.197434
42,0.47,2.229173
28,135,12.964484
6,4.8,2.249601
8,4.5,2.265854
6,7.6,2.287551
10,4.8,2.292979
10,4.4,2.283933
18,70.4,5.289056
16,48,4.004808
36,6.1,2.685908
36,6.1,2.685908
10,24.8,2.751847
12,10.5,2.470415
12,28.8,2.980422
6,1.7,2.207691
12,2,2.238775
6,0.2,2.187452
6,0.204,2.187506
16,18,2.845157
24,52,5.238187
24,83,7.29563
4,1.5,2.198243
6,6.9,2.278055
8,1.8,2.217145
10,6.9,2.340559
10,1.5,2.218496
12,59.8,3.87958
12,17,2.649798
3,17,2.299768
4,1.8,2.200942
12,25,2.87325
6,1.8,2.209042
14,14,2.63131
14,1.8,2.241481
16,28,3.223515
24,157,12.923028
24,0.3,2.200942
10,1.1,2.209492
22,13.8,2.881686
20,9.1,2.599006
18,2.2,2.273987
12,5.1,2.32287
26,5.5,2.509346
6,2.2,2.214444
4,5.5,2.234267
24,51.7,5.219142
4,2.7,2.209042
10,2.7,2.245541
24,9,2.677568
4,15.1,2.321057
10,14,2.502469
6,2.5,2.218496
10,2.5,2.24103
14,3,2.279411
4,7,2.247797
6,7,2.279411
4,3,2.211742
6,3,2.225253
20,4.7,2.397386
14,7,2.406496
6,0.7,2.194196
6,0.7,2.194196
12,27.4,2.94086
8,1.33,2.208682
12,0.23,2.190959
12,1.33,2.220658
8,0.5,2.193746
12,60,3.885525
8,1.13,2.205081
12,5.12,2.323414
12,8.62,2.418895
24,18.96,3.240351
6,2.23,2.214849
16,20.6,2.942742
12,19.48,2.718753
12,7.38,2.385003
18,51.25,4.393756
8,0.23,2.188891
8,1.6,2.213543
8,3.3,2.244187
8,3.3,2.244187
12,1.7,2.230661
12,1.7,2.230661
12,3.2,2.271276
12,3.5,2.279411
8,13.7,2.432947
10,5.2,2.302031
,,2.184756
10,4,2.274891
10,12,2.456697
10,14.5,2.513932
10,0.753,2.201684
10,4,2.274891
10,6.2,2.324683
10,5,2.297505
10,4,2.274891
10,4,2.274891
12,14.2,2.572287
12,4,2.292979
12,3,2.265854
12,14,2.566764
12,4,2.292979
12,62,3.945075
12,3,2.265854
12,19.9,2.730459
12,11.577,2.500003
12,6,2.347368
12,4,2.292979
14,4,2.311088
14,6,2.374631
16,5,2.365538
16,22,2.995517
16,18,2.845157
16,23,3.033312
16,5,2.365538
16,12,2.622074
16,6,2.40194
16,14.2,2.703529
16,0.076,2.187488
16,14.3,2.707241
16,4,2.329218
18,7,2.470415
18,18,2.929573
18,9.2,2.561243
18,6,2.429296
24,23,3.473841
24,198,16.475445
28,231,23.411826
28,27,3.974918
28,7,2.63131
30,224,24.509805
32,56,6.725146
6,0.427,2.190513
6,4,2.238775
6,3.6,2.233365
