Design Hydrocarbon Throughput (kboed),Total Platform Weight (MT),Water Depth (m),No of Wells,Platform Cost (Mil USD)
8,3665,64.6,6,59.47333333
7,2511,65.9,6,40.55333333
22,2381,64,6,42.46666667
11,2060.1,63.7,4,44.47111111
63,3126,85,3,48.08666667
25,2685,81,3,43.55111111
27,2383,57,6,61.80666667
13,1976.88,80,16,52.00888889
13,1950.45,80,16,44.82444444
13,1950.45,80,12,42.73777778
13,1950.45,80,16,43.30666667
13,1950.45,80,13,48.74222222
25,2902,92,1,58.94888889
17,2998,97,1,61.71555556
17,2794,90,1,55.88
14,1515,61,2,74.69111111
50,4099,143,2,140
7,2483,70,6,58.07333333
4,1932.55,30,4,81.48444444
12,6461.7,108.8,4,67.17333333
5,1399.4,50.6,6,48.49111111
44,5784,95,6,83.21555556
26,5424.95,81,9,80.25333333
13,4320.68,70,6,98.18444444
10,4303.35,70,6,85.31333333
53,7242.46,70,20,147.9777778
34,3044.16,53,8,112.2355556
7,1068,42,4,27.99333333
40,3656,75,3,60
130,12000,120,4,250
9.428571429,,32,8,50.47245991
48.39285714,,63,12,30.53593135
48.39285714,,63,16,33.53607499
53.57142857,,64,12,150.0925424
53.57142857,,64,12,169.0496422
3.139285714,,35,9,65.12811111
53.57142857,,103.030303,9,208.4859427
29.28571429,,50,8,113.8185936
35.71428571,,55,20,203.464465
3.4,,10,2,40.64852136
44.64285714,,101,6,158.1080163
28.57142857,,57,9,88.96570346
26.78571429,,70,9,208.9726925
53.57142857,,75.4,4,274.0698978
21.33928571,,63,18,275.7715362
5.375142857,,35,4,69.12188507
8.967571429,,32,4,69.4893547
4.489285714,,28,8,70.24779518
4.589285714,,47,6,51.6888459
