Total Fabricated Hull+Topside (MT),Design Capacity (kboed),Oil storage (barrels),Water depth (m),EPCI capex ($M)
64813.95,87.5,900000,825.0936,515.833529
111500,273.3333333,2000000,1399.9464,1689.749402
56600,196.8333333,875000,349.9104,413.7949622
120000,245,1900000,1029.6144,2225.768797
115543,209.5,2000000,800.1,1589.834855
58000,123.3333333,1000000,342.9,1177.819217
99770,198.3333333,1800000,1356.0552,1815.132355
84424,166.6666667,1000000,374.904,1138.684288
65000,70.83333333,800000,399.8976,948.9035734
118000,100,1100000,249.936,1923.676161
29000,51.66666667,400000,156.0576,338.9334189
144000,246.6666667,2300000,1549.908,2841.170457
88000,129.3333333,1600000,2140.0008,1378.425925
70100,70,650000,93.8784,1087.701318
65000,151.3333333,800000,1737.0552,1096.596272
85000,83.33333333,1000000,1199.0832,1186.287805
96000,286.6666667,2000000,1630.68,1740.947603
100030,250.6666667,1400000,1964.1312,2792.497408
98500,285.8333333,2000000,1932.432,1831.918223
111000,295.6,1400000,1889.1504,2556.908401
119001,144.3333333,700000,255.7272,2624.360586
128000,222.36,2000000,1889.1504,2525.535292
59000,40,650000,242.0112,406.2817644
128000,222.36,2000000,1889.1504,2525.535292
102000,250.6,1400000,1964.1312,2533.378569
110000,325,2000000,1719.9864,2372.634216
132000,295.6,2000000,1889.1504,2948.845383
132000,295.6,2000000,1889.1504,2847.16106
132000,295.6,2000000,1889.1504,3101.371869
140000,283.8333333,2000000,2000.0976,4181.955414
140000,283.8333333,2000000,2130.8568,4181.955414
